fr24_id,hex,callsign,lat,lon,track,alt,gspeed,vspeed,squawk,timestamp,source
3b52503b,789277,HGB8912,22.47952,114.12257,9,17475,354,2112,5744,2025-07-19T02:59:59Z,ADSB
3b51d040,78921D,HKE857,22.39768,114.21371,251,5500,210,-576,3632,2025-07-19T02:59:59Z,ADSB
3b5220be,780379,CSN3975,22.52321,113.97572,238,3850,210,-1088,0350,2025-07-19T02:59:59Z,ADSB
3b523de1,781398,OKA2763,22.46965,113.87695,32,3100,167,-896,2737,2025-07-19T03:14:59Z,ADSB
3b521778,78047E,CDG4681,22.55158,113.85874,334,2025,153,-896,0104,2025-07-19T03:14:58Z,ADSB
3b52337e,781FD6,CSS358,22.69855,114.03509,221,5400,246,192,2633,2025-07-19T03:14:59Z,ADSB
3b50bdaf,A835C5,UPS70,22.34284,114.04282,250,2675,174,-1024,3271,2025-07-19T03:14:59Z,ADSB
3b525fac,780472,CSZ8538,22.73625,114.05899,39,13825,357,512,3160,2025-07-19T03:14:59Z,ADSB
3b522fa7,780094,CES5017,22.41444,114.16922,250,4775,216,-576,5013,2025-07-19T03:14:59Z,ADSB
3b52561a,780E12,CSZ9314,22.52234,113.85681,335,2575,164,-1024,0602,2025-07-19T03:29:57Z,ADSB
3b514bee,780A9C,CPA738,22.39484,114.11082,251,4150,212,-1024,0424,2025-07-19T03:29:59Z,ADSB
3b526182,78923A,BHCZ,22.44698,114.20481,284,1925,93,256,5233,2025-07-19T03:29:57Z,ADSB
3b5231a8,780A99,CRK235,22.40387,114.2338,252,5000,212,0,5033,2025-07-19T03:29:59Z,ADSB
3b5248fe,780D69,CSZ9366,22.67184,113.85696,227,38100,448,0,2711,2025-07-19T03:29:59Z,ADSB
3b522f2f,780474,CSZ9854,22.51816,113.94547,242,3600,204,-512,7755,2025-07-19T03:29:59Z,ADSB
3b5234db,78008B,CES5333,22.67145,114.03509,70,5825,226,-640,6367,2025-07-19T03:30:00Z,ADSB
3b523358,780816,CHH7752,22.53259,113.86919,332,2425,156,-704,2140,2025-07-19T03:44:58Z,ADSB
3b522a94,781E8C,HLF8846,22.61664,113.95214,60,6600,182,-960,2174,2025-07-19T03:44:58Z,ADSB
3b524283,781918,CSN3576,22.60327,114.06155,228,5025,217,-640,6340,2025-07-19T03:44:58Z,ADSB
3b50a6e5,04022C,ETH3728,22.34308,114.04353,251,2525,194,-960,7123,2025-07-19T03:44:58Z,ADSB
3b521607,780B35,CES5015,22.42091,114.19855,278,5025,202,0,3027,2025-07-19T03:44:58Z,ADSB
3b522217,7812CF,CCA1375,22.4555,113.85854,66,3350,185,-1472,0002,2025-07-19T03:59:59Z,ADSB
3b524626,78045D,CES5335,22.51783,113.87726,333,2775,164,-896,5042,2025-07-19T03:59:55Z,ADSB
3b51feb3,780237,CPA710,22.35969,114.0006,250,2175,174,-1088,2267,2025-07-19T03:59:59Z,ADSB
3b50deea,A7DBA2,UPS62,22.35615,114.08422,251,3300,212,-1216,3246,2025-07-19T03:59:59Z,ADSB
3b523648,758369,PAL318,22.4214,114.1909,268,5000,208,-384,2721,2025-07-19T04:00:00Z,ADSB
3b524d42,7818A8,DKH1883,22.70256,114.05047,245,5425,211,-256,5056,2025-07-19T03:59:59Z,ADSB
3b522105,780C3D,CSN6325,22.54518,113.97482,188,4650,206,-704,1267,2025-07-19T03:59:59Z,ADSB
3b52726f,780B09,CDG2289,22.72069,114.04478,40,14800,333,64,4217,2025-07-19T04:00:00Z,ADSB
3b52569d,780DCE,CHH7629,22.7208,114.13808,263,12800,389,-64,3370,2025-07-19T03:59:59Z,ADSB
3b522c18,,,22.65595,114.19123,4,7750,207,-704,0,2025-07-19T03:59:59Z,ADSB
3b522334,780D3F,CSN3156,22.49171,113.91619,244,3400,193,-832,3071,2025-07-19T04:14:59Z,ADSB
3b524e25,780787,CSZ9942,22.57793,113.99404,189,5450,216,-1472,2144,2025-07-19T04:14:59Z,ADSB
3b5257c8,780AB2,HKE551,22.38776,114.21076,281,5400,210,-384,7070,2025-07-19T04:14:59Z,ADSB
3b523723,780BDE,CHH7703,22.58707,113.88797,82,8425,233,64,5626,2025-07-19T04:14:59Z,ADSB
3b527079,789289,HGB531,22.35745,113.99379,250,2050,161,-768,2403,2025-07-19T04:29:59Z,ADSB
3b51dea4,780A7E,CPA417,22.35252,114.07282,251,3050,200,-1088,7142,2025-07-19T04:29:59Z,ADSB
3b50e42c,A5823E,GTI9769,22.38309,114.24408,283,5050,198,0,4240,2025-07-19T04:29:59Z,ADSB
3b525052,7805D3,CHH7726,22.52596,113.87264,333,2550,154,-896,5002,2025-07-19T04:29:48Z,ADSB
3b5258e8,7821AE,CDC8627,22.46745,113.91245,292,3525,172,0,3665,2025-07-19T04:29:58Z,ADSB
3b525d28,781284,CSZ9882,22.62167,113.95384,162,5450,198,-64,3653,2025-07-19T04:29:58Z,ADSB
3b527c55,780A0C,CPA332,22.58267,114.11364,335,17325,372,1536,3342,2025-07-19T04:29:59Z,ADSB
3b525113,78924D,CPA906,22.40749,114.1497,250,4750,210,-768,2736,2025-07-19T04:29:59Z,ADSB
3b5287a6,781F81,CHC12H,22.62428,114.00717,46,1475,99,0,0,2025-07-19T04:29:24Z,ADSB
3b525dad,781C9C,CQH8881,22.53668,113.86688,333,2375,159,-320,7403,2025-07-19T04:44:57Z,ADSB
3b52477a,780010,CCA1383,22.63298,113.87049,68,8950,196,-960,5613,2025-07-19T04:44:58Z,ADSB
3b525f0c,7808AA,CCA4345,22.46095,113.8617,50,3450,176,-960,2160,2025-07-19T04:44:57Z,ADSB
3b523fca,7800C2,CSN3192,22.69263,113.99374,74,7075,192,-704,1003,2025-07-19T04:44:58Z,ADSB
